"project_id","project_location_id","precision_code","geoname_id","place_name","latitude","longitude","location_type_code","location_type_name","gazetteer_adm_code","gazetteer_adm_name","location_class","geographic_exactness","is_geocoded","project_title","start_actual_isodate","start_actual_type","end_actual_isodate","end_actual_type","donors","donors_iso3","recipients","recipients_iso3","ad_sector_codes","ad_sector_names","ad_purpose_codes","ad_purpose_names","status","transactions_start_year","transactions_end_year","total_commitments","total_disbursements","even_split_commitments","even_split_disbursements"
"SL/001157","SL/001157_2408083","3","2408083","Kambia District","9.18251","-12.81309","ADM2","second-order administrative division","6295630|6255146|SL|02|2408083","Earth|Africa|Sierra Leone|Northern Province|Kambia District","1","1","1","Country Programme Sierra Leone 10584.0 (2008-2010)","2008-01-01","start-actual","2012-12-31","","Government of Switzerland|World Food Programme (WFP)|Saudi Arabia|Government of Italy|UNICEF","ITA|CHE|SAU|DAC","Sierra Leone","SLE","122|112|130","Basic health|Basic education|Population Policies / Programmes and Reproductive Health","12240|11220|13040","Basic nutrition|Primary education|STD control including HIV/AIDS","Completion","2008","2012","6364581.0","4434489.0","1272916.2","886897.8"
"SL/001157","SL/001157_2409983","3","2409983","Bombali District","9.28444","-12.16449","ADM2","second-order administrative division","6295630|6255146|SL|02|2409983","Earth|Africa|Sierra Leone|Northern Province|Bombali District","1","1","1","Country Programme Sierra Leone 10584.0 (2008-2010)","2008-01-01","start-actual","2012-12-31","","Government of Switzerland|World Food Programme (WFP)|Saudi Arabia|Government of Italy|UNICEF","ITA|CHE|SAU|DAC","Sierra Leone","SLE","122|112|130","Basic health|Basic education|Population Policies / Programmes and Reproductive Health","12240|11220|13040","Basic nutrition|Primary education|STD control including HIV/AIDS","Completion","2008","2012","6364581.0","4434489.0","1272916.2","886897.8"
"SL/001175","SL/001175_2404431","3","2404431","Port Loko District","8.72386","-12.75904","ADM2","second-order administrative division","6295630|6255146|SL|02|2404431","Earth|Africa|Sierra Leone|Northern Province|Port Loko District","1","1","1","Breaking the Silence for Girls' and Women's Rights","2009-01-01","start-actual","2014-07-01","","European Union (EU)","DAC","Sierra Leone","SLE","151","Government and civil society, general","15150","Strengthening civil society","Implementation","2009","2014","408592.0","392937.0","204296.0","196468.5"
"SL/001175","SL/001175_2409983","3","2409983","Bombali District","9.28444","-12.16449","ADM2","second-order administrative division","6295630|6255146|SL|02|2409983","Earth|Africa|Sierra Leone|Northern Province|Bombali District","1","1","1","Breaking the Silence for Girls' and Women's Rights","2009-01-01","start-actual","2014-07-01","","European Union (EU)","DAC","Sierra Leone","SLE","151","Government and civil society, general","15150","Strengthening civil society","Implementation","2009","2014","408592.0","392937.0","204296.0","196468.5"
"SL/001185","SL/001185_2404431","3","2404431","Port Loko District","8.72386","-12.75904","ADM2","second-order administrative division","6295630|6255146|SL|02|2404431","Earth|Africa|Sierra Leone|Northern Province|Port Loko District","1","1","1","Rolakoh-Rhombe Irrigation Studies ","2003-01-16","start-actual","2008-03-30","","African Development Bank (AfDB)","DAC","Sierra Leone","SLE","311","Agriculture","31120","Agricultural development","Completion","2003","2008","1986950.0","1597161.0","993475.0","798580.5"
"SL/001185","SL/001185_2409983","3","2409983","Bombali District","9.28444","-12.16449","ADM2","second-order administrative division","6295630|6255146|SL|02|2409983","Earth|Africa|Sierra Leone|Northern Province|Bombali District","1","1","1","Rolakoh-Rhombe Irrigation Studies ","2003-01-16","start-actual","2008-03-30","","African Development Bank (AfDB)","DAC","Sierra Leone","SLE","311","Agriculture","31120","Agricultural development","Completion","2003","2008","1986950.0","1597161.0","993475.0","798580.5"
"SL/001207","SL/001207_2404431","3","2404431","Port Loko District","8.72386","-12.75904","ADM2","second-order administrative division","6295630|6255146|SL|02|2404431","Earth|Africa|Sierra Leone|Northern Province|Port Loko District","1","1","1","Reducing maternal mortality and morbidity in the Port Loko District","2009-12-14","start-actual","2013-06-30","","European Union (EU)","DAC","Sierra Leone","SLE","130","Population Policies / Programmes and Reproductive Health","13020","Reproductive health care","Implementation","2009","2013","657139.0","702598.0","657139.0","702598.0"
"SL/001478","SL/001478_2404431","3","2404431","Port Loko District","8.72386","-12.75904","ADM2","second-order administrative division","6295630|6255146|SL|02|2404431","Earth|Africa|Sierra Leone|Northern Province|Port Loko District","1","1","1","School Feeding and Promotion of Rural Dvelopment","2011-07-11","start-actual","2012-08-31","","Germany","DEU","Sierra Leone","SLE","111","Education, level unspecified","11105","Education, level unspecified,purpose unspecified","Completion","2011","2012","636672.0","636672.0","636672.0","636672.0"
"SL/001650","SL/001650_2404431","3","2404431","Port Loko District","8.72386","-12.75904","ADM2","second-order administrative division","6295630|6255146|SL|02|2404431","Earth|Africa|Sierra Leone|Northern Province|Port Loko District","1","1","1","Works Contract-BFS Consortium/Port Loko Lot 1","2010-05-06","start-actual","2012-12-24","","European Union (EU)","DAC","Sierra Leone","SLE","210","Transport and Storage","21020","Road transport","Implementation","2010","2012","155749.0","155749.0","155749.0","155749.0"
"SL/001654","SL/001654_2404431","3","2404431","Port Loko District","8.72386","-12.75904","ADM2","second-order administrative division","6295630|6255146|SL|02|2404431","Earth|Africa|Sierra Leone|Northern Province|Port Loko District","1","1","1","Works Contract - Sunshine Engineering/Port Loko Lot 2","2010-06-10","start-actual","2012-12-14","","European Union (EU)","DAC","Sierra Leone","SLE","210","Transport and Storage","21020","Road transport","Implementation","2010","2012","77373.0","77373.0","77373.0","77373.0"
"SL/001633","SL/001633_2404431","3","2404431","Port Loko District","8.72386","-12.75904","ADM2","second-order administrative division","6295630|6255146|SL|02|2404431","Earth|Africa|Sierra Leone|Northern Province|Port Loko District","1","1","1","Country Programme-105840(2010-12)","2010-07-01","start-actual","2012-12-31","","World Food Programme (WFP)","DAC","Sierra Leone","SLE","122|112|130","Basic health|Basic education|Population Policies / Programmes and Reproductive Health","12240|11220|13040","Basic nutrition|Primary education|STD control including HIV/AIDS","Completion","2010","2012","","","",""
"SL/001633","SL/001633_2403068","4","2403068","Western Area","8.33333","-13.11667","ADM1","first-order administrative division","6295630|6255146|SL|04","Earth|Africa|Sierra Leone|Western Area","1","1","1","Country Programme-105840(2010-12)","2010-07-01","start-actual","2012-12-31","","World Food Programme (WFP)","DAC","Sierra Leone","SLE","122|112|130","Basic health|Basic education|Population Policies / Programmes and Reproductive Health","12240|11220|13040","Basic nutrition|Primary education|STD control including HIV/AIDS","Completion","2010","2012","","","",""
"SL/001614","SL/001614_2403287","3","2403287","Tonkolili District","8.61885","-11.84173","ADM2","second-order administrative division","6295630|6255146|SL|02|2403287","Earth|Africa|Sierra Leone|Northern Province|Tonkolili District","1","1","1","Sierra Leone-Rapid Response Growth Poles","2010-10-28","start-actual","2014-12-01","","World Bank","DAC","Sierra Leone","SLE","331","Trade Policy and Regulations","33105","Trade policy and regulations,purpose unspecified","Implementation","2010","2014","1827073.0","1827073.0","913536.5","913536.5"
"SL/001614","SL/001614_2407650","3","2407650","Koinadugu District","9.50991","-11.34601","ADM2","second-order administrative division","6295630|6255146|SL|02|2407650","Earth|Africa|Sierra Leone|Northern Province|Koinadugu District","1","1","1","Sierra Leone-Rapid Response Growth Poles","2010-10-28","start-actual","2014-12-01","","World Bank","DAC","Sierra Leone","SLE","331","Trade Policy and Regulations","33105","Trade policy and regulations,purpose unspecified","Implementation","2010","2014","1827073.0","1827073.0","913536.5","913536.5"
"SL/001448","SL/001448_2403287","3","2403287","Tonkolili District","8.61885","-11.84173","ADM2","second-order administrative division","6295630|6255146|SL|02|2403287","Earth|Africa|Sierra Leone|Northern Province|Tonkolili District","1","1","1","2010 MAPS Christian Aid","2010-01-01","start-actual","2010-12-31","","Irish Aid","IRL","Sierra Leone","SLE","311|151","Agriculture|Government and civil society, general","31120|15140","Agricultural development|Government administration","Completion","2010","2010","863367.0","","863367.0",""
"SL/001495","SL/001495_2403287","3","2403287","Tonkolili District","8.61885","-11.84173","ADM2","second-order administrative division","6295630|6255146|SL|02|2403287","Earth|Africa|Sierra Leone|Northern Province|Tonkolili District","1","1","1","Building resilience and community engagement (BRACE) II","2011-03-01","start-actual","2015-03-31","","European Union (EU)","DAC","Sierra Leone","SLE","311","Agriculture","31120","Agricultural development","Implementation","2011","2015","1202030.0","1202030.0","1202030.0","1202030.0"
